BA,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%,Scenario_Pair
AEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,6.28,2080.0,6.92,6.0
AECI,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.27,2085.0,6.06,6.0
AVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.31,2070.0,9.47,6.0
AZPS,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,6.05,,,6.0
BANC,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.18,2065.0,5.28,6.0
BPAT,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.85,2060.0,7.9,6.0
CHPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.59,2060.0,7.73,6.0
CISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.45,2065.0,5.82,6.0
CPLE,rcp85hotter_ssp3,rcp45hotter_ssp3,2075.0,6.03,2085.0,7.94,6.0
DOPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.55,2060.0,9.7,6.0
DUK,rcp85hotter_ssp3,rcp45hotter_ssp3,2075.0,5.8,2085.0,9.84,6.0
EPE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.41,2060.0,7.76,6.0
ERCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,8.39,2060.0,7.68,6.0
FMPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.51,2055.0,5.75,6.0
FPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.87,2050.0,5.4,6.0
FPL,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.69,2040.0,5.88,6.0
GCPD,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.46,2065.0,6.36,6.0
GVL,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,6.42,2035.0,5.39,6.0
HST,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,5.21,2035.0,5.74,6.0
IID,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,6.39,2065.0,7.37,6.0
IPCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.19,2065.0,6.8,6.0
ISNE,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,7.72,2055.0,6.44,6.0
JEA,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,6.49,2040.0,6.46,6.0
LDWP,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,6.87,2070.0,6.74,6.0
LGEE,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,5.48,2030.0,5.56,6.0
MISO,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,6.0,2060.0,5.19,6.0
NEVP,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,5.63,2075.0,7.9,6.0
NSB,rcp85hotter_ssp3,rcp45hotter_ssp3,2040.0,5.15,2030.0,5.48,6.0
NWMT,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.07,2065.0,10.88,6.0
NYIS,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.75,2060.0,5.31,6.0
PACE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.59,2065.0,11.76,6.0
PACW,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.34,2065.0,5.44,6.0
PGE,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.17,2070.0,7.73,6.0
PJM,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,9.17,2065.0,8.57,6.0
PNM,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.93,2060.0,6.17,6.0
PSCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.96,2060.0,5.47,6.0
PSEI,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.43,2060.0,7.24,6.0
SC,rcp85hotter_ssp3,rcp45hotter_ssp3,2075.0,6.65,2045.0,5.76,6.0
SCEG,rcp85hotter_ssp3,rcp45hotter_ssp3,2075.0,6.45,2045.0,5.43,6.0
SCL,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.68,2060.0,6.97,6.0
SEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,7.47,2090.0,14.0,6.0
SOCO,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,5.29,2045.0,5.1,6.0
SPA,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,6.78,2065.0,10.54,6.0
SRP,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,5.92,,,6.0
SWPP,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.14,2065.0,9.09,6.0
TAL,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.79,2045.0,7.59,6.0
TEC,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.57,2050.0,5.71,6.0
TEPC,rcp85hotter_ssp3,rcp45hotter_ssp3,2090.0,5.7,,,6.0
TIDC,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.74,2065.0,6.82,6.0
TPWR,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,5.82,2060.0,6.59,6.0
TVA,rcp85hotter_ssp3,rcp45hotter_ssp3,2070.0,6.45,2075.0,5.6,6.0
WACM,rcp85hotter_ssp3,rcp45hotter_ssp3,2055.0,5.77,2060.0,8.39,6.0
WALC,rcp85hotter_ssp3,rcp45hotter_ssp3,2065.0,7.5,2065.0,6.32,6.0
WAUW,rcp85hotter_ssp3,rcp45hotter_ssp3,2060.0,7.78,2060.0,5.42,6.0
AEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2055.0,5.44,2050.0,5.3,7.0
AECI,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.65,2040.0,6.77,7.0
AVA,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.08,2045.0,5.71,7.0
AZPS,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.54,2045.0,6.13,7.0
BANC,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.69,2040.0,7.78,7.0
BPAT,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.19,2045.0,5.91,7.0
CHPD,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.76,2045.0,5.01,7.0
CISO,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.46,2040.0,9.24,7.0
CPLE,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.4,2065.0,10.47,7.0
DOPD,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.65,2045.0,5.51,7.0
DUK,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.29,2065.0,10.73,7.0
EPE,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.81,2040.0,6.59,7.0
ERCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.33,2040.0,6.23,7.0
FMPP,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.95,2075.0,5.61,7.0
FPC,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.81,2075.0,5.42,7.0
FPL,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.61,2075.0,5.65,7.0
GCPD,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.87,2050.0,7.39,7.0
GVL,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,6.06,2080.0,5.34,7.0
HST,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.24,2075.0,5.78,7.0
IID,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.01,2040.0,8.38,7.0
IPCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,6.02,2050.0,7.91,7.0
ISNE,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.03,2040.0,7.6,7.0
JEA,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,6.69,2075.0,6.75,7.0
LDWP,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.39,2035.0,5.23,7.0
LGEE,rcp85cooler_ssp5,rcp45cooler_ssp5,2070.0,6.03,,,7.0
MISO,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.02,2040.0,6.94,7.0
NEVP,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,8.52,2050.0,7.28,7.0
NSB,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,6.13,2065.0,7.43,7.0
NWMT,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,8.37,2045.0,7.13,7.0
NYIS,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.73,2040.0,7.27,7.0
PACE,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.17,2040.0,5.21,7.0
PACW,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.48,2050.0,8.19,7.0
PGE,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.18,2050.0,8.51,7.0
PJM,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,7.06,2040.0,5.24,7.0
PNM,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.31,2040.0,7.37,7.0
PSCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.31,2040.0,5.76,7.0
PSEI,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.88,2050.0,8.13,7.0
SC,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.41,2060.0,5.13,7.0
SCEG,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,5.33,2065.0,12.0,7.0
SCL,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.93,2045.0,5.18,7.0
SEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2070.0,5.35,2075.0,6.24,7.0
SOCO,rcp85cooler_ssp5,rcp45cooler_ssp5,2060.0,7.02,2060.0,5.68,7.0
SPA,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.25,2045.0,8.57,7.0
SRP,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.61,2045.0,6.19,7.0
SWPP,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.23,2040.0,7.07,7.0
TAL,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,6.49,2080.0,7.79,7.0
TEC,rcp85cooler_ssp5,rcp45cooler_ssp5,2075.0,5.97,2075.0,6.22,7.0
TEPC,rcp85cooler_ssp5,rcp45cooler_ssp5,2045.0,5.3,2050.0,6.28,7.0
TIDC,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,8.7,2035.0,5.82,7.0
TPWR,rcp85cooler_ssp5,rcp45cooler_ssp5,2050.0,7.89,2050.0,8.22,7.0
TVA,rcp85cooler_ssp5,rcp45cooler_ssp5,2055.0,5.77,2055.0,9.86,7.0
WACM,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,7.77,2040.0,6.6,7.0
WALC,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,6.13,2040.0,5.79,7.0
WAUW,rcp85cooler_ssp5,rcp45cooler_ssp5,2040.0,5.4,2040.0,5.86,7.0
AEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AECI,rcp45hotter_ssp5,rcp45cooler_ssp5,,,2070.0,5.01,10.0
AVA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AZPS,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
BANC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
BPAT,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CHPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CISO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
CPLE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
DOPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
DUK,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
EPE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
ERCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FMPP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FPC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
FPL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
GCPD,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
GVL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
HST,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
IID,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
IPCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
ISNE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
JEA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
LDWP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
LGEE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
MISO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NEVP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NSB,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NWMT,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
NYIS,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PACE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PACW,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PGE,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PJM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PNM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PSCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
PSEI,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SCEG,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SCL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SOCO,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SPA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SRP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
SWPP,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TAL,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TEC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TEPC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TIDC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TPWR,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
TVA,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WACM,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WALC,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
WAUW,rcp45hotter_ssp5,rcp45cooler_ssp5,,,,,10.0
AEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.05,2035.0,10.8,1.0
AECI,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.96,2035.0,13.48,1.0
AVA,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.32,2035.0,9.54,1.0
AZPS,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,11.01,2030.0,12.31,1.0
BANC,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.87,2035.0,13.41,1.0
BPAT,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,8.62,2035.0,8.78,1.0
CHPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.0,2035.0,8.69,1.0
CISO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.71,2035.0,12.07,1.0
CPLE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.81,2030.0,7.33,1.0
DOPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.88,2035.0,6.76,1.0
DUK,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,7.43,2030.0,7.88,1.0
EPE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.65,2030.0,5.84,1.0
ERCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.26,2030.0,6.17,1.0
FMPP,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.17,2030.0,5.17,1.0
FPC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.19,2030.0,5.0,1.0
FPL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.38,2030.0,5.22,1.0
GCPD,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.15,2035.0,9.06,1.0
GVL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.2,1.0
HST,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.21,1.0
IID,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.68,2035.0,12.54,1.0
IPCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.27,2035.0,12.07,1.0
ISNE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.43,2030.0,5.66,1.0
JEA,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.16,2030.0,5.29,1.0
LDWP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,12.77,2035.0,12.77,1.0
LGEE,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.53,2030.0,7.0,1.0
MISO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,7.97,2030.0,7.69,1.0
NEVP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.35,2035.0,11.38,1.0
NSB,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.21,1.0
NWMT,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.17,2035.0,11.58,1.0
NYIS,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.04,2030.0,5.84,1.0
PACE,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,10.97,2035.0,10.82,1.0
PACW,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,7.88,2035.0,8.58,1.0
PGE,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,7.81,2035.0,7.99,1.0
PJM,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.88,2030.0,6.89,1.0
PNM,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.59,2030.0,5.91,1.0
PSCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.9,2030.0,6.82,1.0
PSEI,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.2,2035.0,9.17,1.0
SC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,9.72,2030.0,9.81,1.0
SCEG,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,9.66,2030.0,9.8,1.0
SCL,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,9.17,2035.0,9.16,1.0
SEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.22,2030.0,5.2,1.0
SOCO,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.92,2035.0,11.88,1.0
SPA,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.5,2035.0,11.53,1.0
SRP,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,10.12,2030.0,10.24,1.0
SWPP,rcp45cooler_ssp5,rcp45cooler_ssp3,2035.0,11.99,2035.0,11.96,1.0
TAL,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.2,1.0
TEC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.2,2030.0,5.1,1.0
TEPC,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,10.47,2030.0,10.89,1.0
